ano,modelo,preco,kilometragem,cor,transmissao
2010,SE,13383,34503,Preto,AUTO
2010,SE,13350,16573,Azul,AUTO
2009,SES,12999,32403,Azul,AUTO
2009,SE,12998,34846,Azul,AUTO
2007,SE,12997,39665,Vermelho,AUTO
2010,SE,12995,21325,Preto,AUTO
2010,SE,12995,32743,Preto,MANUAL
2010,SE,12995,40058,Branco,MANUAL
2009,SE,12995,42325,Azul,AUTO
2009,SE,12995,44518,Vermelho,AUTO
2009,SE,12995,53902,Cinza,AUTO
2008,SE,12995,127327,Vermelho,AUTO
2009,SE,12992,27136,Cinza,AUTO
2009,SES,12990,45813,Prata,AUTO
2009,SE,12988,31538,Cinza,AUTO
2010,SE,12849,29517,Prata,AUTO
2010,SE,12780,35871,Preto,AUTO
2008,SE,12777,49787,Preto,MANUAL
2008,SES,12704,36323,Azul,AUTO
2009,SES,12595,39211,Azul,AUTO
2009,SE,12507,44789,Cinza,AUTO
2008,SE,12500,45996,Branco,MANUAL
2009,SE,12500,54988,Branco,MANUAL
2009,SE,12280,29288,Vermelho,AUTO
2009,SE,11999,36124,Azul,AUTO
2009,SE,11992,32559,Preto,MANUAL
2009,SES,11984,59048,Preto,AUTO
2009,SE,11980,55170,Vermelho,AUTO
2010,SE,11792,39722,Verde,AUTO
2008,SE,11754,38286,Preto,AUTO
2008,SES,11749,57341,Vermelho,AUTO
2008,SES,11495,82221,Prata,AUTO
2008,SE,11450,85229,Vermelho,MANUAL
2009,SES,10995,42834,Vermelho,AUTO
2005,SES,10995,69415,Azul,AUTO
2009,SEL,10995,78264,Cinza,AUTO
2009,SE,10979,60709,Vermelho,AUTO
2008,SE,10955,39643,Cinza,AUTO
2009,SE,10955,40180,Gold,AUTO
2008,SE,10836,40330,Verde,MANUAL
2007,SES,10815,77231,Vermelho,AUTO
2007,SE,10770,72937,Prata,MANUAL
2010,SE,10717,64199,Preto,AUTO
2007,SES,10000,63926,Vermelho,AUTO
2007,SES,9999,74427,Prata,AUTO
2007,SES,9999,78948,Preto,MANUAL
2006,SE,9995,51311,Prata,AUTO
2008,SE,9995,95364,Branco,AUTO
2008,SE,9992,74109,Branco,AUTO
2007,SE,9651,63296,Azul,AUTO
2007,SES,9000,80605,Vermelho,AUTO
2006,SE,8999,49656,Prata,AUTO
2007,SE,8996,48652,Prata,MANUAL
2006,SE,8800,71331,Branco,AUTO
2008,SE,8495,106171,Preto,AUTO
2008,SE,8494,68901,Prata,AUTO
2009,SE,8480,70036,Branco,MANUAL
2007,SES,7999,81596,Bege,MANUAL
2006,SES,7995,35000,Preto,MANUAL
2006,SES,7995,97987,Vermelho,AUTO
2003,SES,7900,96000,Branco,AUTO
2005,SES,7488,59013,Vermelho,AUTO
2004,SE,6999,105714,Prata,AUTO
2007,SE,6995,86862,Branco,AUTO
2000,SE,6980,60161,Verde,AUTO
2004,SES,6980,101130,Cinza,AUTO
2004,SES,6950,119720,Preto,AUTO
2006,SES,6200,95000,Prata,AUTO
2002,SE,5995,87003,Vermelho,AUTO
2000,SE,5980,96841,Vermelho,AUTO
2001,SE,4899,151479,Bege,AUTO
2000,SE,3800,109259,Vermelho,AUTO
