ID-Produto,ID-Vendedor,Loja,Data Venda,ValorVenda
SKU-0000191,1005,SP8822,02/11/2015,189
SKU-0000192,1006,SP8822,02/12/2015,1212
SKU-0000193,1007,R1296,01/01/2014,1234
SKU-0000194,1003,R1296,01/02/2014,763
SKU-0000195,1002,V7654,01/03/2014,149
SKU-0000196,1001,A9990,01/04/2014,148
SKU-0000197,1001,SP8822,01/05/2014,139
SKU-0000198,1001,SP8822,01/06/2014,138
SKU-0000199,1009,SP8822,01/07/2014,137
SKU-0000200,1004,SP8822,01/08/2014,121
SKU-0000201,1007,R1296,01/09/2014,129
SKU-0000202,1006,V7654,01/10/2014,128
SKU-0000203,1005,SP8822,01/11/2014,129
SKU-0000204,1009,SP8822,01/12/2014,129
SKU-0000205,1002,SP8822,02/01/2015,128
SKU-0000206,1003,SP8822,02/02/2015,129
SKU-0000207,1006,SP8822,02/03/2015,121
SKU-0000208,1004,SP8822,02/04/2015,121
SKU-0000209,1004,SP8822,02/05/2015,121
SKU-0000210,1007,V7654,02/06/2015,121
SKU-0000211,1004,R1296,02/07/2015,121
SKU-0000212,1006,SP8822,02/08/2015,121
SKU-0000213,1005,A9990,02/09/2015,121
SKU-0000214,1003,SP8822,02/10/2015,121
SKU-0000215,1004,SP8822,02/11/2015,121
SKU-0000216,1003,SP8822,02/12/2015,121
SKU-0000217,1009,SP8822,01/01/2014,121
SKU-0000218,1002,SP8822,01/02/2014,355
SKU-0000219,1001,SP8822,01/03/2014,355
SKU-0000220,1002,SP8822,01/04/2014,366
SKU-0000221,1002,SP8822,01/05/2014,388
SKU-0000222,1004,SP8822,01/06/2014,124
SKU-0000223,1002,SP8822,01/07/2014,120
SKU-0000224,1002,V7654,01/08/2014,190
SKU-0000225,1004,R1296,01/09/2014,675.9
SKU-0000226,1002,A9990,01/10/2014,455
SKU-0000227,1002,SP8822,01/11/2014,377
SKU-0000228,1004,SP8822,01/12/2014,678.12
SKU-0000229,1004,SP8822,02/01/2015,789.45
SKU-0000230,1004,SP8822,02/02/2015,890.32
SKU-0000231,1006,SP8822,02/03/2015,433
SKU-0000232,1007,A9990,02/04/2015,455
SKU-0000233,1003,SP8822,02/05/2015,677
SKU-0000234,1002,R1296,02/06/2015,345
SKU-0000235,1009,SP8822,02/07/2015,713
SKU-0000236,1006,SP8822,02/08/2015,322
SKU-0000237,1006,A9990,02/09/2015,222
SKU-0000238,1003,SP8822,02/10/2015,566
SKU-0000239,1004,SP8822,02/11/2015,678.34
SKU-0000240,1005,SP8822,02/12/2015,456
SKU-0000241,1006,P0761,02/01/2015,290
SKU-0000242,1007,SA7761,02/02/2015,121
SKU-0000243,1003,P0761,02/03/2015,455
SKU-0000244,1002,SA7761,02/04/2015,121
SKU-0000245,1001,V7654,02/05/2015,1290
SKU-0000246,1001,R1296,02/06/2015,121
SKU-0000247,1001,SP8822,02/07/2015,1229
SKU-0000248,1009,A9990,02/08/2015,121
SKU-0000249,1004,SP8822,02/09/2015,1321
SKU-0000250,1007,R1296,02/10/2015,121
SKU-0000251,1006,SP8822,02/11/2015,1345
SKU-0000252,1005,SP8822,02/12/2015,121
SKU-0000253,1009,SP8821,02/01/2015,167
SKU-0000254,1002,SP8821,02/02/2015,167
SKU-0000255,1003,SP8821,02/03/2015,167
SKU-0000256,1006,SP8821,02/04/2015,167
SKU-0000257,1004,SP8821,02/05/2015,167
SKU-0000258,1004,SP8821,02/06/2015,167
SKU-0000259,1007,SP8821,02/07/2015,167
SKU-0000260,1004,SP8821,02/08/2015,167
SKU-0000261,1006,SP8821,02/09/2015,167
SKU-0000262,1005,SP8821,02/10/2015,167
SKU-0000263,1003,SP8821,02/11/2015,167
SKU-0000264,1004,SP8821,02/12/2015,167
SKU-0000265,1003,SP8821,02/01/2015,167
SKU-0000266,1009,SP8821,02/02/2015,713
SKU-0000267,1002,SP8821,02/03/2015,713
SKU-0000268,1001,SP8821,02/04/2015,713
SKU-0000269,1002,SP8821,02/05/2015,713
SKU-0000270,1002,SP8821,02/06/2015,713
SKU-0000271,1004,SP8821,02/07/2015,456
SKU-0000272,1002,SP8821,02/08/2015,713
SKU-0000273,1002,SP8821,02/09/2015,713
SKU-0000274,1004,SP8821,02/10/2015,765.34
SKU-0000275,1002,SP8821,02/11/2015,713
SKU-0000276,1002,SP8821,02/12/2015,713
SKU-0000277,1004,SP8821,02/01/2015,234.12
SKU-0000278,1004,SP8821,02/02/2015,134
SKU-0000279,1004,P0761,02/03/2015,123
SKU-0000280,1003,SP8821,02/04/2015,167
SKU-0000281,1004,S6543,02/05/2015,189
SKU-0000282,1005,P0761,02/06/2015,134
SKU-0000283,1001,S6543,02/07/2015,156
SKU-0000284,1001,S6543,02/08/2015,123
SKU-0000285,1001,S6543,02/09/2015,156
SKU-0000286,1009,SP8821,02/10/2015,178
SKU-0000287,1008,SP8821,02/11/2015,139
SKU-0000288,1007,SP8821,02/12/2015,123
SKU-0000289,1009,A9990,09/01/2015,123
SKU-0000290,1009,A9990,10/01/2015,1299
SKU-0000291,1003,A9991,11/02/2015,761
SKU-0000292,1004,V7654,12/03/2015,765
SKU-0000293,1005,V7654,13/03/2015,456
SKU-0000294,1006,A9991,14/03/2015,1230
SKU-0000295,1007,A9991,15/04/2015,1212
SKU-0000296,1004,A9991,16/04/2015,1230
SKU-0000297,1002,V7654,17/05/2015,1299
SKU-0000298,1002,V7654,18/05/2015,1299
SKU-0000299,1001,A9991,19/05/2015,1299
SKU-0000300,1002,A9991,20/06/2015,1299
SKU-0000301,1004,A9991,21/07/2015,456
SKU-0000302,1002,V7654,22/07/2015,1230
SKU-0000303,1003,V7654,23/09/2015,409
SKU-0000304,1003,V7654,24/10/2015,766
SKU-0000305,1002,A9991,25/11/2015,1230
SKU-0000306,1004,V7654,26/11/2015,567
SKU-0000307,1001,A9991,27/11/2015,1299
SKU-0000308,1009,R1296,04/10/2014,1299
SKU-0000309,1002,R1296,04/10/2014,1230
SKU-0000310,1001,R1296,01/01/2014,1299
SKU-0000311,1002,R1296,02/02/2014,1230
SKU-0000312,1002,R1296,03/03/2014,1230
SKU-0000313,1002,R1296,04/04/2014,1230
SKU-0000314,1002,R1296,04/05/2014,1230
SKU-0000315,1009,R1296,04/06/2014,1299
SKU-0000316,1001,R1296,04/07/2014,1299
SKU-0000317,1003,R1296,04/08/2014,137
SKU-0000318,1004,R1296,04/09/2014,632
SKU-0000319,1005,R1296,04/11/2014,761
SKU-0000320,1009,R1296,04/11/2014,1299
SKU-0000321,1002,R1296,04/12/2014,1299
SKU-0000322,1001,R1296,04/12/2014,1299
SKU-0000323,1005,R1296,02/01/2015,543
SKU-0000324,1002,R1296,02/02/2015,1230
SKU-0000325,1002,R1298,02/03/2015,1230
SKU-0000326,1001,R1298,02/04/2015,1230
SKU-0000327,1001,R1298,02/05/2015,1230
SKU-0000328,1001,R1296,02/06/2015,1230
SKU-0000329,1001,R1296,02/07/2015,1230
SKU-0000330,1001,R1296,02/08/2015,1230
SKU-0000331,1001,R1296,02/09/2015,1230
SKU-0000332,1001,R1296,02/10/2015,1230
SKU-0000333,1001,R1296,02/11/2015,1230
SKU-0000334,1001,R1296,02/12/2015,1230
SKU-0000335,1005,R1296,02/01/2015,1230
SKU-0000336,1002,R1296,02/02/2015,1299
SKU-0000337,1009,R1296,02/03/2015,1299
SKU-0000338,1001,R1296,02/04/2015,1299
SKU-0000339,1003,R1296,02/05/2015,899
SKU-0000340,1004,R1296,02/06/2015,345.87
SKU-0000341,1005,R1296,02/07/2015,456
SKU-0000342,1009,R1296,02/08/2015,1299
SKU-0000343,1002,R1296,02/09/2015,1299
SKU-0000344,1001,R1296,02/10/2015,1299
SKU-0000345,1005,R1296,02/11/2015,567
SKU-0000346,1002,R1295,02/12/2015,1299
SKU-0000347,1002,R1295,01/01/2014,1299
SKU-0000348,1001,R1295,01/02/2014,167
SKU-0000349,1001,R1295,01/03/2014,167
SKU-0000350,1001,R1297,01/04/2014,167
SKU-0000351,1001,R1295,01/05/2014,149
SKU-0000352,1001,R1295,01/06/2014,149
SKU-0000353,1001,R1295,01/07/2014,149
SKU-0000354,1001,R1295,01/08/2014,149
SKU-0000355,1001,R1295,01/09/2014,149
SKU-0000356,1001,R1297,01/10/2014,149
SKU-0000357,1005,R1297,01/11/2014,149
SKU-0000358,1002,R1297,01/12/2014,149
SKU-0000359,1009,R1297,02/01/2015,149
SKU-0000360,1001,R1297,02/02/2015,149
SKU-0000361,1003,R1297,02/03/2015,149
SKU-0000362,1004,R1297,02/04/2015,765.45
SKU-0000363,1005,R1297,02/05/2015,149
SKU-0000364,1009,R1297,02/06/2015,149
SKU-0000365,1002,R1295,02/07/2015,149
SKU-0000366,1001,R1295,02/08/2015,149
SKU-0000367,1005,R1295,02/09/2015,149
SKU-0000368,1002,R1298,02/10/2015,149
SKU-0000369,1002,R1295,02/11/2015,149
SKU-0000370,1001,R1295,02/12/2015,149
SKU-0000371,1001,R1298,01/01/2014,149
SKU-0000372,1001,R1295,01/02/2014,1299
SKU-0000373,1001,R1295,01/03/2014,455
SKU-0000374,1001,R1295,01/04/2014,455
SKU-0000375,1001,R1295,01/05/2014,455
SKU-0000376,1001,R1295,01/06/2014,455
SKU-0000377,1001,R1295,01/07/2014,455
SKU-0000378,1001,R1295,01/08/2014,455
SKU-0000379,1005,R1295,01/09/2014,123
SKU-0000380,1002,R1295,01/10/2014,455
SKU-0000381,1009,R1295,01/11/2014,455
SKU-0000382,1001,R1295,01/12/2014,455
SKU-0000383,1003,R1295,02/01/2015,566
SKU-0000384,1004,R1295,02/02/2015,788.9
SKU-0000385,1005,R1295,02/03/2015,567
SKU-0000386,1009,R1295,02/04/2015,455
SKU-0000387,1002,R1295,02/05/2015,455
SKU-0000388,1001,R1295,02/06/2015,455
SKU-0000389,1005,R1295,02/07/2015,123
SKU-0000390,1002,R1295,02/08/2015,455
SKU-0000391,1002,R1295,02/09/2015,455
SKU-0000392,1001,R1295,02/10/2015,455
SKU-0000393,1001,R1295,02/11/2015,455
SKU-0000394,1001,R1295,02/12/2015,455
SKU-0000395,1001,R1295,02/02/2015,455
SKU-0000396,1001,R1295,02/04/2015,455
SKU-0000397,1001,R1295,02/05/2015,455
SKU-0000398,1001,R1295,02/06/2015,455
SKU-0000399,1001,R1295,02/07/2015,455
SKU-0000400,1001,R1298,02/08/2015,149
SKU-0000401,1005,R1295,02/09/2015,1390
SKU-0000402,1001,R1298,02/10/2015,149
SKU-0000403,1004,R1295,02/11/2015,1120
SKU-0000404,1001,R1298,02/12/2015,149
SKU-0000405,1002,R1298,02/01/2015,149
SKU-0000406,1002,R1298,02/02/2015,149
SKU-0000407,1001,R1298,02/03/2015,149
SKU-0000408,1001,R1298,02/04/2015,149
SKU-0000409,1009,R1295,02/05/2015,149
SKU-0000410,1006,R1295,02/06/2015,149
SKU-0000411,1007,R1295,02/07/2015,149
SKU-0000412,1006,R1295,02/08/2015,149
SKU-0000413,1005,R1295,02/09/2015,149
SKU-0000414,1005,R1295,02/10/2015,149
SKU-0000415,1005,R1295,02/11/2015,149
SKU-0000416,1005,R1295,02/12/2015,121
SKU-0000417,1005,R1295,02/01/2015,121
SKU-0000418,1005,R1295,02/02/2015,788
SKU-0000419,1005,R1295,02/03/2015,900
SKU-0000420,1005,R1295,02/04/2015,455
SKU-0000421,1005,R1295,02/05/2015,390
SKU-0000422,1005,R1295,02/06/2015,899
SKU-0000423,1005,R1295,02/07/2015,455
SKU-0000424,1008,R1295,02/08/2015,234
SKU-0000425,1008,R1295,02/09/2015,289
SKU-0000426,1008,R1295,02/10/2015,433
SKU-0000427,1008,R1295,02/11/2015,345
SKU-0000428,1008,R1295,02/12/2015,346
SKU-0000429,1008,R1295,02/01/2015,456
SKU-0000430,1009,R1295,02/02/2015,145
SKU-0000431,1006,R1295,02/03/2015,124
SKU-0000432,1006,R1297,02/05/2015,128
SKU-0000433,1003,R1297,02/07/2015,127
SKU-0000434,1004,R1297,02/08/2015,12
SKU-0000435,1005,R1297,02/09/2015,124
SKU-0000436,1006,R1295,02/10/2015,124
SKU-0000437,1007,R1295,02/11/2015,128
SKU-0000438,1003,R1295,02/12/2015,134
SKU-0000439,1002,R1295,09/01/2015,143
SKU-0000440,1002,R1295,10/01/2015,1234
SKU-0000441,1002,R1295,11/02/2015,1234
SKU-0000442,1002,R1295,12/03/2015,1234
SKU-0000443,1002,R1295,13/03/2015,1234
SKU-0000444,1006,R1295,14/03/2015,1230
SKU-0000445,1002,R1295,15/04/2015,1234
SKU-0000446,1007,R1295,16/04/2015,1230
SKU-0000447,1002,R1295,17/05/2015,1234
SKU-0000448,1002,R1295,18/05/2015,1234
SKU-0000449,1002,R1295,19/05/2015,1234
SKU-0000450,1002,R1295,20/06/2015,1234
SKU-0000451,1002,R1295,21/07/2015,1234
SKU-0000452,1007,R1295,22/07/2015,1230
SKU-0000453,1002,R1295,23/09/2015,1234
SKU-0000454,1002,R1295,24/10/2015,1234
SKU-0000455,1008,R1295,25/11/2015,1230
SKU-0000456,1002,R1295,26/11/2015,1234
SKU-0000457,1002,R1295,27/11/2015,1234
