ID,NOME,CATEGORIA,SEGMENTO,MARCA
SKU-0000341,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000342,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000343,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000344,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000345,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000346,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000347,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000003,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000004,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000005,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Electrolux
SKU-0000006,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000016,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Electrolux
SKU-0000017,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000018,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000019,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Electrolux
SKU-0000020,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000021,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000022,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000023,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000024,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Electrolux
SKU-0000025,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000026,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000027,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Electrolux
SKU-0000065,Grill,Eletrodomésticos,Doméstico,Panasonic
SKU-0000066,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000067,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000068,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000069,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000070,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000071,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000072,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000073,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000074,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000075,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000076,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000077,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000078,Grill,Eletrodomésticos,Doméstico,Panasonic
SKU-0000079,Grill,Eletrodomésticos,Doméstico,Panasonic
SKU-0000080,Grill,Eletrodomésticos,Doméstico,Panasonic
SKU-0000081,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000082,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000083,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000084,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000085,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000086,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000087,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000124,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000125,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000126,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000127,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000128,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000129,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000130,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000131,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000132,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000133,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000134,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000135,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000218,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000219,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000220,Grill,Eletrodomésticos,Doméstico,Consul
SKU-0000221,Grill,Eletrodomésticos,Doméstico,Consul
SKU-0000222,Grill,Eletrodomésticos,Doméstico,Consul
SKU-0000223,Grill,Eletrodomésticos,Doméstico,Consul
SKU-0000224,Grill,Eletrodomésticos,Doméstico,Consul
SKU-0000225,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000226,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000227,Forno-Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000228,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000229,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000230,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000231,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000232,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000233,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000234,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000235,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000236,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000237,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000238,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000239,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000240,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000241,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000372,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000373,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000374,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000375,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000376,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000377,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000378,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000379,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000380,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000381,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000382,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000383,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000384,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000385,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000386,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000387,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000388,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000389,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000390,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000391,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000392,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000393,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000394,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000395,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000396,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000397,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000398,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000399,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000401,Ar Condicionado,Eletrodomésticos,Doméstico,Samsung
SKU-0000403,Ar Condicionado,Eletrodomésticos,Doméstico,Samsung
SKU-0000088,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000090,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000092,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000094,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000096,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000098,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000099,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000100,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000101,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000102,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000103,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000104,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000105,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000106,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000107,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000108,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000109,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000110,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000111,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000194,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000195,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000196,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000197,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000198,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000199,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000200,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000201,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000202,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000203,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000204,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000205,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000206,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000207,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000208,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000209,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000210,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000211,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000212,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000213,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000214,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000215,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000216,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000217,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000242,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000244,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000246,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000248,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000250,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000252,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000253,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000254,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000255,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000256,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000257,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000258,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000259,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000260,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000261,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000262,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000263,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000264,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000265,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000278,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000279,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000280,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000281,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000282,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000283,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000284,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000285,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000286,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000287,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000288,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000289,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000348,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000349,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000350,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000351,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000352,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000353,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000354,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000355,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000356,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000357,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000358,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000359,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000360,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000361,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000362,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000363,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000364,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000365,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000366,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000367,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000368,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000369,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000370,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000371,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000400,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000402,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000404,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000405,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000406,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000407,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000408,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000409,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000410,Liquidificador,Eletroportáteis,Doméstico,Arno
SKU-0000411,Liquidificador,Eletroportáteis,Doméstico,Arno
SKU-0000412,Liquidificador,Eletroportáteis,Doméstico,Arno
SKU-0000413,Liquidificador,Eletroportáteis,Doméstico,Arno
SKU-0000414,Liquidificador,Eletroportáteis,Doméstico,Arno
SKU-0000415,Liquidificador,Eletroportáteis,Doméstico,Arno
SKU-0000416,Liquidificador,Eletroportáteis,Doméstico,Arno
SKU-0000417,Liquidificador,Eletroportáteis,Doméstico,Arno
SKU-0000430,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000431,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000432,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000433,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000434,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000435,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000436,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000437,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000438,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000439,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000112,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000113,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000114,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000115,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000116,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000117,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000118,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000119,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000120,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000121,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000122,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000123,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000142,Sony Experia XA,Celulares,Doméstico,Sony
SKU-0000178,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000179,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000180,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000181,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000266,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000267,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000268,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000269,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000270,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000271,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000272,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000273,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000274,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000275,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000276,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000277,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000294,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000296,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000302,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000305,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000309,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000311,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000312,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000313,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000314,Morotola Moto G5,Celulares,Doméstico,Motorola
